Image Name,Label,x,y,w,h
001/01/08_0/001_01_01_080_00.png,0,x:367,y:166,w:38,h:63
001/01/09_0/001_01_01_090_00.png,0,x:248,y:202,w:36,h:60
001/01/11_0/001_01_01_110_00.png,0,x:267,y:201,w:37,h:62
001/01/12_0/001_01_01_120_00.png,0,x:316,y:200,w:34,h:57
001/01/13_0/001_01_01_130_00.png,0,x:415,y:200,w:34,h:57
001/01/20_0/001_01_01_200_00.png,0,x:272,y:199,w:34,h:57
001/01/01_0/001_01_01_010_01.png,0,x:311,y:202,w:40,h:66
001/01/08_0/001_01_01_080_01.png,0,x:369,y:165,w:40,h:66
001/01/20_0/001_01_01_200_01.png,0,x:270,y:197,w:37,h:61
001/01/24_0/001_01_01_240_01.png,0,x:300,y:232,w:40,h:66
001/01/01_0/001_01_01_010_02.png,0,x:312,y:205,w:38,h:63
001/01/13_0/001_01_01_130_02.png,0,x:414,y:196,w:38,h:63
001/01/20_0/001_01_01_200_02.png,0,x:273,y:204,w:31,h:51
001/01/24_0/001_01_01_240_02.png,0,x:298,y:226,w:45,h:74
001/01/01_0/001_01_01_010_03.png,0,x:311,y:205,w:39,h:64
001/01/08_0/001_01_01_080_03.png,0,x:370,y:166,w:37,h:62
001/01/11_0/001_01_01_110_03.png,0,x:268,y:201,w:34,h:57
001/01/13_0/001_01_01_130_03.png,0,x:416,y:198,w:36,h:60
001/01/19_0/001_01_01_190_03.png,0,x:274,y:172,w:38,h:63
001/01/20_0/001_01_01_200_03.png,0,x:273,y:204,w:31,h:51
001/01/24_0/001_01_01_240_03.png,0,x:301,y:232,w:40,h:66
001/01/01_0/001_01_01_010_04.png,0,x:311,y:205,w:40,h:66
001/01/09_0/001_01_01_090_04.png,0,x:248,y:207,w:32,h:53
001/01/11_0/001_01_01_110_04.png,0,x:268,y:202,w:34,h:57
001/01/19_0/001_01_01_190_04.png,0,x:273,y:170,w:40,h:66
001/01/20_0/001_01_01_200_04.png,0,x:271,y:197,w:37,h:61
001/01/24_0/001_01_01_240_04.png,0,x:299,y:231,w:41,h:67
001/01/01_0/001_01_01_010_05.png,0,x:311,y:206,w:39,h:64
001/01/08_0/001_01_01_080_05.png,0,x:367,y:171,w:34,h:57
